,label,label_coarse,confidence,error,has_face,large_face,
127,great_white_shark,shark,0.094023384,2.3642116,1,1,
128,great_white_shark,shark,0.77196294,0.25881863,0,0,
129,great_white_shark,shark,0.5498523,0.59810543,0,0,
130,great_white_shark,shark,0.11357239,2.175315,0,0,
131,great_white_shark,shark,0.8849314,0.122244835,0,0,
132,great_white_shark,shark,0.83451307,0.18090725,0,0,
133,great_white_shark,shark,0.5538908,0.5907879,0,0,
134,great_white_shark,shark,0.7677736,0.2642603,0,0,
135,great_white_shark,shark,0.8368532,0.17810631,0,0,
136,great_white_shark,shark,0.94756305,0.053861618,0,0,
137,great_white_shark,shark,0.6322641,0.4584484,0,0,
138,great_white_shark,shark,0.9531532,0.047979355,0,0,
139,great_white_shark,shark,0.22281747,1.5014019,0,0,
140,great_white_shark,shark,0.77347696,0.25685978,0,0,
141,great_white_shark,shark,0.8555484,0.15601254,0,0,
142,great_white_shark,shark,0.9019252,0.1032238,0,0,
143,great_white_shark,shark,0.105034806,2.2534637,0,0,
144,great_white_shark,shark,0.95513624,0.0459013,0,0,
145,great_white_shark,shark,0.019108426,3.9576254,0,0,
146,great_white_shark,shark,0.12972495,2.0423384,0,0,
147,great_white_shark,shark,0.53218114,0.63077164,0,0,
148,great_white_shark,shark,0.8210361,0.19718838,0,0,
149,great_white_shark,shark,0.6913294,0.36913872,0,0,
150,tiger_shark,shark,0.8174923,0.20151424,0,0,
151,tiger_shark,shark,0.77319604,0.25722313,0,0,
152,tiger_shark,shark,0.36970845,0.9950409,0,0,
153,tiger_shark,shark,0.57353,0.5559454,0,0,
154,tiger_shark,shark,0.8212036,0.19698429,0,0,
155,tiger_shark,shark,0.3400575,1.0786409,0,0,
156,tiger_shark,shark,0.9202852,0.08307171,0,0,
157,tiger_shark,shark,0.620968,0.47647572,0,0,
158,tiger_shark,shark,0.08036973,2.5211182,0,0,
159,tiger_shark,shark,0.9336488,0.068655014,0,0,
160,tiger_shark,shark,0.7996321,0.22360325,0,0,
161,tiger_shark,shark,0.6395357,0.4470129,0,0,
162,tiger_shark,shark,0.07421545,2.6007829,0,0,
163,tiger_shark,shark,0.733658,0.3097124,0,0,
164,tiger_shark,shark,0.026084892,3.646399,0,0,
165,tiger_shark,shark,0.4581148,0.78063583,0,0,
166,tiger_shark,shark,0.06506186,2.732417,0,0,
167,tiger_shark,shark,0.43814668,0.825202,0,0,
168,tiger_shark,shark,0.83850855,0.1761303,0,0,
169,tiger_shark,shark,0.26562387,1.325674,0,0,
170,tiger_shark,shark,0.092137665,2.3844714,1,1,
171,tiger_shark,shark,0.90543723,0.09933758,0,0,
172,tiger_shark,shark,0.767148,0.26507568,0,0,
173,tiger_shark,shark,0.59934306,0.5119209,0,0,
174,tiger_shark,shark,0.27167952,1.303132,0,0,
175,tiger_shark,shark,0.009107115,4.6986995,0,0,
176,tiger_shark,shark,0.7184571,0.33064938,0,0,
177,tiger_shark,shark,0.6508513,0.42947388,0,0,
178,tiger_shark,shark,0.9492481,0.052084923,0,0,
179,tiger_shark,shark,0.45374313,0.7902241,0,0,
180,tiger_shark,shark,0.9407965,0.06102848,0,0,
181,tiger_shark,shark,0.6680985,0.40331936,0,0,
182,tiger_shark,shark,0.914684,0.08917618,0,0,
183,tiger_shark,shark,0.8638688,0.14633465,0,0,
184,tiger_shark,shark,0.9187436,0.08474827,0,0,
185,tiger_shark,shark,0.919836,0.08355999,0,0,
186,tiger_shark,shark,0.20239793,1.5975199,0,0,
187,tiger_shark,shark,0.07913018,2.5366611,0,0,
188,tiger_shark,shark,0.20750229,1.5726128,0,0,
189,tiger_shark,shark,0.9129954,0.0910244,0,0,
190,tiger_shark,shark,0.2880733,1.2445402,0,0,
191,tiger_shark,shark,0.22575374,1.4883108,0,0,
192,tiger_shark,shark,0.7571647,0.2781744,0,0,
193,tiger_shark,shark,0.63735193,0.45043373,0,0,
194,tiger_shark,shark,0.31850678,1.1441116,0,0,
195,tiger_shark,shark,0.063332774,2.7593527,0,0,
196,tiger_shark,shark,0.20380121,1.59061,0,0,
197,tiger_shark,shark,0.07049679,2.6521878,0,0,
198,tiger_shark,shark,0.8761037,0.13227081,0,0,
199,tiger_shark,shark,0.51209867,0.6692381,0,0,
200,hammerhead,shark,0.05666264,2.8706403,0,0,
201,hammerhead,shark,0.91275805,0.09128475,0,0,
202,hammerhead,shark,0.8432822,0.17045403,0,0,
203,hammerhead,shark,0.42580625,0.8537712,0,0,
204,hammerhead,shark,0.43114203,0.84131813,0,0,
205,hammerhead,shark,0.71501374,0.33545303,0,0,
206,hammerhead,shark,0.38602275,0.9518595,0,0,
207,hammerhead,shark,0.89242697,0.11381054,0,0,
208,hammerhead,shark,0.0048286524,5.3331876,1,0,
209,hammerhead,shark,0.9770563,0.023210526,0,0,
210,hammerhead,shark,0.22598656,1.4872794,0,0,
211,hammerhead,shark,0.8708309,0.13830757,0,0,
212,hammerhead,shark,0.89511913,0.110798836,0,0,
213,hammerhead,shark,0.93159604,0.070856094,0,0,
214,hammerhead,shark,0.78885454,0.23717308,0,0,
215,hammerhead,shark,0.8981582,0.10740948,0,0,
216,hammerhead,shark,0.8034836,0.21879864,0,0,
217,hammerhead,shark,0.0017566364,6.344354,1,1,
218,hammerhead,shark,0.59573436,0.51796055,0,0,
219,hammerhead,shark,0.017013993,4.073719,0,0,
220,hammerhead,shark,0.1564769,1.854847,0,0,
221,hammerhead,shark,0.5249697,0.6444149,0,0,
222,hammerhead,shark,0.81166685,0.2086649,0,0,
223,hammerhead,shark,0.7653196,0.26746178,0,0,
224,hammerhead,shark,0.82202095,0.19598961,0,0,
225,hammerhead,shark,0.13977489,1.9677219,0,0,
226,hammerhead,shark,0.9212244,0.08205128,0,0,
227,hammerhead,shark,0.8747725,0.13379192,0,0,
228,hammerhead,shark,0.85179377,0.16041088,0,0,
229,hammerhead,shark,0.884252,0.1230135,0,0,
230,hammerhead,shark,0.9292104,0.07341957,0,0,
231,hammerhead,shark,0.7286035,0.3166256,0,0,
232,hammerhead,shark,0.63038975,0.4614172,0,0,
233,hammerhead,shark,0.9801498,0.020050049,0,0,
234,hammerhead,shark,0.121717125,2.1060553,0,0,
235,hammerhead,shark,0.067382075,2.6973763,0,0,
236,hammerhead,shark,0.8322005,0.18368149,0,0,
237,hammerhead,shark,0.004769374,5.3455405,0,0,
238,hammerhead,shark,0.6463189,0.4364624,0,0,
239,hammerhead,shark,0.5263858,0.6417208,0,0,
240,hammerhead,shark,0.12539554,2.076282,0,0,
241,hammerhead,shark,0.37499136,0.9808521,0,0,
242,hammerhead,shark,0.9068491,0.097779274,0,0,
243,hammerhead,shark,0.9465641,0.05491638,0,0,
244,hammerhead,shark,0.93429834,0.067959785,0,0,
245,hammerhead,shark,0.41372177,0.8825617,0,0,
246,hammerhead,shark,0.769222,0.26237583,0,0,
247,hammerhead,shark,0.44464007,0.81049013,0,0,
248,hammerhead,shark,0.88292086,0.12451935,0,0,
249,hammerhead,shark,0.6883799,0.37341404,0,0,
250,electric_ray,fish,0.074469484,2.5973659,0,0,
251,electric_ray,fish,0.94013214,0.061735153,0,0,
252,electric_ray,fish,0.15626095,1.8562279,0,0,
253,electric_ray,fish,0.3872778,0.94861317,0,0,
254,electric_ray,fish,0.6105381,0.49341488,0,0,
255,electric_ray,fish,0.90572387,0.09902096,0,0,
256,electric_ray,fish,0.540148,0.61591244,0,0,
257,electric_ray,fish,0.9966781,0.0033273697,0,0,
258,electric_ray,fish,0.9597729,0.04105854,0,0,
259,electric_ray,fish,0.95625746,0.04472828,0,0,
260,electric_ray,fish,0.6182488,0.48086452,0,0,
261,electric_ray,fish,0.59586716,0.5177374,0,0,
262,electric_ray,fish,0.00014774228,8.820041,0,0,
263,electric_ray,fish,0.13904643,1.9729476,0,0,
264,electric_ray,fish,0.001707294,6.3728456,0,0,
265,electric_ray,fish,0.9824118,0.017745018,0,0,
266,electric_ray,fish,0.699528,0.3573494,0,0,
267,electric_ray,fish,0.34211904,1.0725965,0,0,
268,electric_ray,fish,0.1624635,1.8173018,0,0,
269,electric_ray,fish,0.79665333,0.22733593,0,0,
270,electric_ray,fish,0.9099452,0.09437084,0,0,
271,electric_ray,fish,0.17912602,1.7196655,0,0,
272,electric_ray,fish,0.98409677,0.016031265,0,0,
273,electric_ray,fish,0.004233085,5.4648237,0,0,
274,electric_ray,fish,0.3145151,1.156723,0,0,
275,electric_ray,fish,0.34662977,1.0594978,0,0,
276,electric_ray,fish,0.56766635,0.56622124,0,0,
277,electric_ray,fish,0.9987538,0.001247406,0,0,
278,electric_ray,fish,0.0044404618,5.416997,0,0,
279,electric_ray,fish,0.9365919,0.06550789,0,0,
280,electric_ray,fish,0.6014248,0.50845337,1,0,
281,electric_ray,fish,0.67398894,0.39454174,0,0,
282,electric_ray,fish,0.70634073,0.3476572,0,0,
283,electric_ray,fish,0.014333465,4.245158,0,0,
284,electric_ray,fish,0.99759406,0.0024089813,0,0,
285,electric_ray,fish,0.9739214,0.026424408,0,0,
286,electric_ray,fish,0.9790822,0.021140099,0,0,
287,electric_ray,fish,0.87857777,0.1294508,0,0,
288,electric_ray,fish,0.9321858,0.070222855,0,0,
289,electric_ray,fish,0.07357497,2.6094503,0,0,
290,electric_ray,fish,0.8021402,0.22047234,0,0,
291,electric_ray,fish,0.09429325,2.3613458,0,0,
292,electric_ray,fish,0.42105296,0.8649969,0,0,
293,electric_ray,fish,0.013219726,4.3260455,0,0,
294,electric_ray,fish,0.0016357668,6.415643,0,0,
295,electric_ray,fish,0.9094787,0.09488392,0,0,
296,electric_ray,fish,0.36164176,1.0171013,0,0,
297,electric_ray,fish,0.75321925,0.28339863,0,0,
298,electric_ray,fish,0.8040682,0.21807098,0,0,
299,electric_ray,fish,0.29589373,1.2177548,0,0,
300,stingray,fish,0.8323948,0.18344879,0,0,
301,stingray,fish,0.41279253,0.88481045,0,0,
302,stingray,fish,0.9129093,0.09111881,0,0,
303,stingray,fish,0.5566626,0.58579636,1,1,
304,stingray,fish,0.36629054,1.0043287,0,0,
305,stingray,fish,0.44091505,0.81890345,1,1,
306,stingray,fish,0.21092854,1.5562358,0,0,
307,stingray,fish,0.6928018,0.36701107,0,0,
308,stingray,fish,0.7378975,0.3039503,0,0,
309,stingray,fish,0.026497334,3.6307116,0,0,
310,stingray,fish,0.9773457,0.022914886,0,0,
311,stingray,fish,0.4759955,0.74234676,0,0,
312,stingray,fish,0.08260691,2.4936624,0,0,
313,stingray,fish,0.878757,0.12924671,0,0,
314,stingray,fish,0.7440489,0.29564857,0,0,
315,stingray,fish,0.13261208,2.0203276,1,0,
316,stingray,fish,0.4832246,0.72727394,0,0,
317,stingray,fish,0.91013443,0.09416294,0,0,
318,stingray,fish,0.8262534,0.19085407,0,0,
319,stingray,fish,0.90928036,0.09510136,1,1,
320,stingray,fish,0.2586144,1.352417,0,0,
321,stingray,fish,0.82367754,0.1939764,0,0,
322,stingray,fish,0.083158344,2.487009,0,0,
323,stingray,fish,0.5788097,0.54678154,0,0,
324,stingray,fish,0.16027935,1.8308372,0,0,
325,stingray,fish,0.89278084,0.11341381,0,0,
326,stingray,fish,0.7862928,0.24042511,0,0,
327,stingray,fish,0.88028896,0.1275053,0,0,
328,stingray,fish,0.6249014,0.47016144,0,0,
329,stingray,fish,0.1065158,2.2394614,1,1,
330,stingray,fish,0.5747992,0.5537348,0,0,
331,stingray,fish,0.90603495,0.09867668,0,0,
332,stingray,fish,0.5478318,0.6017866,0,0,
333,stingray,fish,0.026874648,3.616572,0,0,
334,stingray,fish,0.39685765,0.92417717,0,0,
335,stingray,fish,0.97419816,0.026140213,1,1,
336,stingray,fish,0.81728697,0.20176506,0,0,
337,stingray,fish,0.9293775,0.07324028,0,0,
338,stingray,fish,0.24428785,1.4094076,0,0,
339,stingray,fish,0.47027558,0.7544365,0,0,
340,stingray,fish,0.81582534,0.2035551,0,0,
341,stingray,fish,0.0008986212,7.0146494,1,0,
342,stingray,fish,0.52557564,0.64326096,0,0,
343,stingray,fish,0.5983404,0.5135956,1,1,
344,stingray,fish,0.09212296,2.3846312,0,0,
345,stingray,fish,0.00040093873,7.8217015,1,0,
346,stingray,fish,0.5691832,0.56355286,0,0,
347,stingray,fish,0.32702094,1.1177311,0,0,
348,stingray,fish,0.39530316,0.9281025,0,0,
349,stingray,fish,0.95268506,0.048470497,0,0,
350,cock,bird,0.12428608,2.0851688,0,0,
351,cock,bird,0.32691693,1.1180496,0,0,
352,cock,bird,0.6279592,0.46528053,0,0,
353,cock,bird,0.86995167,0.13931751,0,0,
354,cock,bird,0.0021089287,6.161575,0,0,
355,cock,bird,0.69091654,0.36973667,0,0,
356,cock,bird,0.48406246,0.7255411,0,0,
357,cock,bird,0.89265925,0.113550186,0,0,
358,cock,bird,0.38990036,0.941864,0,0,
359,cock,bird,0.19401865,1.639801,1,0,
360,cock,bird,0.4540695,0.789505,0,0,
361,cock,bird,0.37929207,0.96944904,0,0,
362,cock,bird,0.0007965642,7.135203,1,0,
363,cock,bird,0.11459969,2.1663103,0,0,
364,cock,bird,0.90939415,0.094976425,0,0,
365,cock,bird,0.017224398,4.0614285,0,0,
366,cock,bird,0.9665832,0.033988,0,0,
367,cock,bird,0.27133536,1.3043995,0,0,
368,cock,bird,0.0027652122,5.8906374,1,1,
369,cock,bird,0.2864242,1.2502813,0,0,
370,cock,bird,0.6342184,0.45536232,0,0,
371,cock,bird,0.36180025,1.0166626,0,0,
372,cock,bird,0.89357686,0.11252308,0,0,
373,cock,bird,0.9685545,0.03195095,0,0,
374,cock,bird,0.7939805,0.23069668,0,0,
375,cock,bird,0.35911468,1.0241137,0,0,
376,cock,bird,0.30691823,1.1811743,0,0,
377,cock,bird,0.94979095,0.051513672,0,0,
378,cock,bird,0.37199467,0.9888754,0,0,
379,cock,bird,0.4771946,0.739831,0,0,
380,cock,bird,0.9696176,0.030853271,0,0,
381,cock,bird,0.9161977,0.08752346,0,0,
382,cock,bird,0.8997443,0.10564518,0,0,
383,cock,bird,0.00956829,4.6493006,0,0,
384,cock,bird,0.030410895,3.4929547,0,0,
385,cock,bird,0.58650494,0.5335741,0,0,
386,cock,bird,0.58023536,0.54432106,0,0,
387,cock,bird,0.56544995,0.5701332,0,0,
388,cock,bird,0.83430547,0.1811552,0,0,
389,cock,bird,0.22026792,1.5129108,0,0,
390,cock,bird,0.81582564,0.2035551,0,0,
391,cock,bird,0.97635,0.023934364,0,0,
392,cock,bird,0.6549144,0.42325115,0,0,
393,cock,bird,0.02875569,3.5489197,0,0,
394,cock,bird,0.7777008,0.25141335,0,0,
395,cock,bird,0.9186398,0.0848608,0,0,
396,cock,bird,0.0025008284,5.9911327,0,0,
397,cock,bird,0.93235546,0.0700407,0,0,
398,cock,bird,0.07121942,2.6419897,0,0,
399,cock,bird,0.8493617,0.16327,0,0,
400,hen,bird,0.91351545,0.090455055,0,0,
401,hen,bird,0.93708825,0.064977646,0,0,
402,hen,bird,0.34520054,1.0636301,0,0,
403,hen,bird,0.0025190292,5.983881,0,0,
404,hen,bird,0.3207784,1.1370049,0,0,
405,hen,bird,0.9435839,0.058070183,0,0,
406,hen,bird,0.9722435,0.028148651,0,0,
407,hen,bird,0.63177323,0.4592247,0,0,
408,hen,bird,0.93452483,0.06771755,0,0,
409,hen,bird,0.79149383,0.23383331,0,0,
410,hen,bird,0.9531872,0.04794407,0,0,
411,hen,bird,0.54546624,0.6061144,0,0,
412,hen,bird,0.9493345,0.051994324,0,0,
413,hen,bird,0.9316669,0.0707798,0,0,
414,hen,bird,0.808416,0.21267891,0,0,
415,hen,bird,0.46203676,0.77211094,0,0,
416,hen,bird,0.18623893,1.6807246,0,0,
417,hen,bird,0.8321593,0.18373108,0,0,
418,hen,bird,0.09781739,2.3246527,0,0,
419,hen,bird,0.0060625053,5.105632,0,0,
420,hen,bird,0.43065605,0.8424454,0,0,
421,hen,bird,0.84137464,0.17271805,0,0,
422,hen,bird,0.98358536,0.016551018,0,0,
423,hen,bird,0.09565088,2.3470507,0,0,
424,hen,bird,0.4651502,0.76539516,0,0,
425,hen,bird,0.7186794,0.33033943,0,0,
426,hen,bird,0.82087845,0.19738007,0,0,
427,hen,bird,0.30679935,1.1815615,0,0,
428,hen,bird,0.87348914,0.13525963,0,0,
429,hen,bird,0.7902282,0.23543358,0,0,
430,hen,bird,0.5940292,0.5208273,0,0,
431,hen,bird,0.070070066,2.6582594,0,0,
432,hen,bird,0.75612843,0.27954388,1,0,
433,hen,bird,0.75474393,0.28137684,0,0,
434,hen,bird,0.107005216,2.2348776,0,0,
435,hen,bird,0.90857905,0.09587383,0,0,
436,hen,bird,0.8313801,0.18466854,0,0,
437,hen,bird,0.8352736,0.17999554,0,0,
438,hen,bird,0.86519694,0.14479828,0,0,
439,hen,bird,0.59985656,0.5110645,0,0,
440,hen,bird,0.69857836,0.35870743,0,0,
441,hen,bird,0.6375484,0.45012474,0,0,
442,hen,bird,0.92842615,0.07426453,0,0,
443,hen,bird,0.19228466,1.6487789,0,0,
444,hen,bird,0.83397204,0.18155575,0,0,
445,hen,bird,0.9188825,0.084596634,0,0,
446,hen,bird,0.9604153,0.04038906,0,0,
447,hen,bird,0.9014637,0.103735924,0,0,
448,hen,bird,0.96510357,0.0355196,0,0,
449,hen,bird,0.8359204,0.1792221,0,0,
450,ostrich,bird,0.99928826,0.00071144104,0,0,
451,ostrich,bird,0.99023694,0.009811401,0,0,
452,ostrich,bird,0.9971554,0.0028486252,0,0,
453,ostrich,bird,0.9898925,0.010158539,0,0,
454,ostrich,bird,0.9961403,0.0038671494,0,0,
455,ostrich,bird,0.95850945,0.042375565,0,0,
456,ostrich,bird,0.9120944,0.09201145,0,0,
457,ostrich,bird,0.9029266,0.102113724,0,0,
458,ostrich,bird,0.58465093,0.5367403,0,0,
459,ostrich,bird,0.9702968,0.030153275,0,0,
460,ostrich,bird,0.98888445,0.011178017,0,0,
461,ostrich,bird,0.947214,0.054229736,0,0,
462,ostrich,bird,0.99243575,0.007593155,0,0,
463,ostrich,bird,0.9759202,0.024374008,0,0,
464,ostrich,bird,0.9939382,0.0060806274,0,0,
465,ostrich,bird,0.92576444,0.077135086,0,0,
466,ostrich,bird,0.95780766,0.043107986,0,0,
467,ostrich,bird,0.99016845,0.009880066,0,0,
468,ostrich,bird,0.9833935,0.016745567,0,0,
469,ostrich,bird,0.96844864,0.03205967,0,0,
470,ostrich,bird,0.92626256,0.076597214,0,0,
471,ostrich,bird,0.98039836,0.019796371,0,0,
472,ostrich,bird,0.91172177,0.09242058,0,0,
473,ostrich,bird,0.21200095,1.5511642,0,0,
474,ostrich,bird,0.99254405,0.0074834824,0,0,
475,ostrich,bird,0.96516746,0.035453796,0,0,
476,ostrich,bird,0.9883754,0.011693001,0,0,
477,ostrich,bird,0.99210256,0.007928848,0,0,
478,ostrich,bird,0.7286914,0.31650448,0,0,
479,ostrich,bird,0.9703076,0.03014183,0,0,
480,ostrich,bird,0.034459367,3.3679743,0,0,
481,ostrich,bird,0.97604704,0.024244308,0,0,
482,ostrich,bird,0.9275985,0.07515621,0,0,
483,ostrich,bird,0.98653966,0.013551712,0,0,
484,ostrich,bird,0.9891227,0.010936737,0,0,
485,ostrich,bird,0.37640366,0.97709274,0,0,
486,ostrich,bird,0.99438053,0.0056352615,0,0,
487,ostrich,bird,0.44756177,0.8039408,0,0,
488,ostrich,bird,0.9704146,0.030032158,0,0,
489,ostrich,bird,0.98626256,0.013833046,0,0,
490,ostrich,bird,0.4129128,0.8845186,0,0,
491,ostrich,bird,0.6818249,0.38298225,0,0,
492,ostrich,bird,0.98787236,0.012201309,0,0,
493,ostrich,bird,0.8024833,0.22004414,0,0,
494,ostrich,bird,0.99793303,0.0020694733,0,0,
495,ostrich,bird,0.89633775,0.10943794,1,1,
496,ostrich,bird,0.9885954,0.011469841,0,0,
497,ostrich,bird,0.992747,0.007279396,0,0,
498,ostrich,bird,0.6979743,0.35957336,1,1,
499,ostrich,bird,0.8649528,0.14508057,0,0,
500,brambling,bird,0.5639645,0.5727644,0,0,
501,brambling,bird,0.9882582,0.011811256,0,0,
502,brambling,bird,0.9639791,0.036685944,0,0,
503,brambling,bird,0.98843294,0.011634827,0,0,
504,brambling,bird,0.95081544,0.050435066,0,0,
505,brambling,bird,0.9748028,0.025520325,0,0,
506,brambling,bird,0.1012691,2.2899742,0,0,
507,brambling,bird,0.92103386,0.082258224,0,0,
508,brambling,bird,0.88814807,0.11861706,0,0,
509,brambling,bird,0.9213917,0.08187008,1,1,
510,brambling,bird,0.9557554,0.0452528,0,0,
511,brambling,bird,0.99792683,0.0020751953,0,0,
512,brambling,bird,0.41305175,0.884182,0,0,
513,brambling,bird,0.6936247,0.3658247,0,0,
514,brambling,bird,0.07420553,2.6009164,0,0,
515,brambling,bird,0.9103362,0.09394169,0,0,
516,brambling,bird,0.8688377,0.14059925,0,0,
517,brambling,bird,0.97097653,0.029453278,0,0,
518,brambling,bird,0.97996867,0.020235062,0,0,
519,brambling,bird,0.9718257,0.028578758,0,0,
